鎮守の森,新潮文庫,宮脇昭,新潮出版,2000,中学年,,,159,自然、日本,知識の扉,,,,世界規模の森林破壊や地球温暖化が加速する現在、きびしい自然環境に耐え、かつ大災害にも負けない森を再生することが緊急の課題となっている。植物学の世界的権威が、人々を守り、育てる「鎮守の森」の可能性を通して、地球をあと千年生かすための道を指し示す。,,
博士の愛した数式,新潮文庫,小川洋子,新潮文庫,2005,低学年,,,291,算数、ワクワク、,友達の扉,算数の扉,,,［ぼくの記憶は80分しかもたない］博士の背広の袖には、そう書かれた古びたメモが留められていた──記憶力を失った博士にとって、私は常に“新しい”家政婦。博士は“初対面”の私に、靴のサイズや誕生日を尋ねた。数字が博士の言葉だった。あまりに悲しく暖かい、奇跡の愛の物語。第1回本屋大賞受賞。,,
源氏物語,青い鳥文庫,紫式部,講談社,2011,中学年,,,288,歴史、人間関係、恋愛,文学の扉,,,,古典の名作を美しい現代語訳で一冊に！主人公は天皇の子として生まれた、美しく聡明な光源氏。恋する気持ちの楽しさ、苦しさ、せつなさと人間関係をえがいた古典の名作です。長い物語を小・中学生に向けて読みやすく一冊にまとめました。,,
ドリトル先生月へゆく,岩波少年文庫,ヒュー・ロフティング,岩崎書店,2000,中学年,,,272,物語、冒険、ドキドキ,冒険の扉,,,,巨大なガにのって月へ向かったドリトル先生たちは，水や食物を求めての苦しい旅をします．月の世界の住民たちと話をかわすことができるようになり，先生は患者の診療に大活躍．,,
ゾウの時間ネズミの時間,中公新書,本川達雄,中公新書,1992,中学年,,,230,動物、科学、物理,知識の扉,,,,動物のサイズが違うと機敏さが違い、寿命が違い、総じて時間の流れる速さが違ってくる。行動圏も生息密度も、サイズと一定の関係がある。ところが一生の間に心臓が打つ総数や体重あたりの総エネルギー使用量は、サイズによらず同じなのである。人類の将来に貴重なヒントを提供する。,,
カタリン・カリコ,ポプラ社,増田ユリヤ,ポプラ社,2023,低学年,,,142,科学、ノーベル賞、勇気、ドキドキ,伝記・歴史の扉,,,,新型コロナワクチン（mRNAワクチン）を開発し、2023年にノーベル生理学・医学賞を受賞したカタリン・カリコ氏の生き方と研究を紹介する児童向けノンフィクション。さまざまな憂き目にあいながらも、あきらめることなくRNA研究を続けてきたその原動力は何なのか。その知られざる人生に迫る。,,
マチルダは小さな大天才,評論社,ロアルド・ダール,評論社,2005,低学年,,,353,小説、勇気,学校の扉,友達の扉,,,マチルダは天才少女。三歳になる前に字が読めるようになり、四歳で、有名な文学作品も読みこなす。ところが両親ときたら、「物知らず」だの「ばか」だのと、どなりちらしてばかり。横暴で高圧的な大人たちに頭脳で立ち向かうマチルダの、痛快仕返し物語。,,
ロウソクの科学,角川つばさ文庫,ファラデー,角川文庫,2017,低学年,,,192,科学、実験、ワクワク,知識の扉,,,,1本のロウソクを使ったたのしい実験で、身のまわりのふしぎを学ぼう! 科学者のファラデーが子どもたちに見せた24の実験をイラストと物語でやさしく教えるよ! 読めばだれでも理科がわかる・科学を好きになる! たのしくておもしろい、理科実験の入門書!,,
きまぐれロボット,角川文庫,星新一,角川文庫,2006,中学年,,,224,短編集、気軽に読める,不思議の扉,ユーモアの扉,,,お金持ちのエヌ氏は、博士が自慢するロボットを買い入れた。オールマイティだが、時々あばれたり逃げたりする。ひどいロボットを買わされたと怒ったエヌ氏は、博士に文句を言ったが……。,,
窓ぎわのトットちゃん,青い鳥文庫,黒柳徹子,講談社,1991,低学年,,,358,勇気、ワクワク、悲しい、,友達の扉,,,,小林宗作が作ったトモエ学園のユニークな教育と、そこに学ぶ子どもたちの姿をいきいきと描き、戦後最大のベストセラーとなり、世界中で愛読されている黒柳徹子の自伝的作品。,,
大どろぼうホッツェンプロッツ三たびあらわる,,プロイスラー,偕成社,1975,低学年,あり,ふつう,211,ワクワク、泥棒、悪人、物語、友情,冒険の扉,,,,釈放された大どろぼうは、どろぼう業をやめる決心をしたのにだれも信用してくれません。大どろぼうをかばう２人の少年が大活躍！,,
不吉な地点,,星新一,理論社,2009,中学年,,,214,短編集、ワクワク、ミステリー,ミステリーの扉,,,,猟にやってきた男、遊んでいた女、不審な二人組…雪の降る季節に不吉な出来事がおこる場所とは？　表題作を含む１2編収録。,,
世界文学の森 ルパン城,,モーリス・ルブラン,集英社,1994,中学年,あり,あり,144,,ミステリーの扉,文学の扉,,,殺人事件を解決するために、少年探偵イジドールが古い城へやってきました。紙に書き残された暗号の謎とは？　怪盗ルパンと対決！,,
世界文学の森 タイムマシン,,H.G.ウェルズ,集英社,1994,中学年,あり,あり,144,"冒険,ドキドキ,ワクワク,SF",冒険の扉,文学の扉,,,タイム・マシンに乗って、80万年後の未来へ！　そこは、2種類の未来人たちが生活している世界だった。未来の世界で展開する大冒険。,,
世界文学の森 海底二万里,,ジュール・ベルヌ,集英社,1994,中学年,あり,あり,144,"冒険,ドキドキ,ワクワク,SF",冒険の扉,文学の扉,,,船を沈める謎の一角くじら。その正体は巨大な潜水艦ノーチラス号だった。海の底でのさまざまな事件、そしてネモ艦長の秘密とは？,,
